"avg","income_category","status"
5049.799261992622,"$40K - $60K","Attrited Customer"
10491.971957671958,"$60K - $80K","Attrited Customer"
3483.3065359477164,"Less than $40K","Attrited Customer"
8372.903208556152,"Unknown","Attrited Customer"
19734.380952380954,"$120K +","Attrited Customer"
15296.733057851241,"$80K - $120K","Attrited Customer"
3810.664937266861,"Less than $40K","Existing Customer"
15905.934416086626,"$80K - $120K","Existing Customer"
10800.343775762576,"$60K - $80K","Existing Customer"
9747.791135135132,"Unknown","Existing Customer"
19713.7462562396,"$120K +","Existing Customer"
5535.8456221198085,"$40K - $60K","Existing Customer"
