"sum","status","card_category","category_age"
557,"Attrited Customer","Blue","Adults"
1721,"Attrited Customer","Blue","Middle Age"
138,"Attrited Customer","Blue","Senior"
14,"Attrited Customer","Gold","Adults"
48,"Attrited Customer","Gold","Middle Age"
14,"Attrited Customer","Platinum","Middle Age"
33,"Attrited Customer","Silver","Adults"
177,"Attrited Customer","Silver","Middle Age"
10,"Attrited Customer","Silver","Senior"
1353,"Existing Customer","Blue","Adults"
2570,"Existing Customer","Blue","Middle Age"
418,"Existing Customer","Blue","Senior"
48,"Existing Customer","Gold","Adults"
195,"Existing Customer","Gold","Middle Age"
7,"Existing Customer","Gold","Senior"
1,"Existing Customer","Platinum","Adults"
28,"Existing Customer","Platinum","Middle Age"
248,"Existing Customer","Silver","Adults"
985,"Existing Customer","Silver","Middle Age"
48,"Existing Customer","Silver","Senior"
